text,clean_text,vader_score,tfidf_pred,tfidf_prob,w2v_pred,w2v_prob,vader_pred
This dress fits perfectly and looks amazing!,this dress fits perfectly and looks amazing!,0.8516,1,0.9610349308187094,1,0.9720237501439549,1
"Terrible quality, fell apart after one wash.",terrible quality  fell apart after one wash ,-0.4767,0,0.012905262585721833,0,0.028432303967405655,0
Very comfortable but runs slightly large.,very comfortable but runs slightly large ,0.3174,1,0.9227623272258152,1,0.9998183691514743,1
Not worth the price at all.,not worth the price at all ,-0.1695,0,0.031585923696261856,0,1.4079003330761753e-05,0
"Absolutely love this jacket, great material!",absolutely love this jacket  great material!,0.8716,1,0.9770029163272838,1,0.9999983683838122,1
The fabric feels cheap and itchy.,the fabric feels cheap and itchy ,-0.2732,0,0.033282741545009,0,1.7146695757567446e-05,0
Nice design but poor stitching.,nice design but poor stitching ,-0.5023,0,0.05008280472596437,0,0.003275539816663208,0
Super soft and perfect fit!,super soft and perfect fit!,0.8858,1,0.9785557812959704,1,0.999999999247456,1
"Disappointed, expected better quality.",disappointed  expected better quality ,-0.0516,0,0.023389289278230887,0,1.0928810179781012e-05,0
"Great purchase, would definitely recommend.",great purchase  would definitely recommend ,0.8519,1,0.9657541037500548,1,0.9992073570784131,1
