Department Name,Class Name,sentiment_score,recommend_prob,review_volume,weighted_sentiment
Bottoms,Casual bottoms,0.9098,0.5917833991744837,1,0.0
Bottoms,Jeans,0.7926944746376812,0.7918684737727624,1104,0.49988352468426495
Bottoms,Pants,0.7851014814814814,0.743258355190326,1350,0.6029881291604323
Bottoms,Shorts,0.7750177631578947,0.7489515593312431,304,0.521915126514887
Bottoms,Skirts,0.7948303433001108,0.7606474832198667,903,0.6410512546047917
Dresses,Dresses,0.7765180960130187,0.7103180070025276,6145,0.6349401493700141
Intimate,Chemises,0.886,0.9961887308661292,1,0.0
Intimate,Intimates,0.7715891156462584,0.759275984987691,147,0.3044185561708172
Intimate,Layering,0.7953439393939394,0.7876171720321135,132,0.42340772451532366
Intimate,Legwear,0.7785626582278481,0.7727180584063633,158,0.47818144514942335
Intimate,Lounge,0.768163677130045,0.7620732197858351,669,0.574561275075331
Intimate,Sleep,0.7482542056074766,0.7794098437557525,214,0.4296847645008047
Intimate,Swim,0.7914509036144579,0.6879485701613129,332,0.6231598262343888
Jackets,Jackets,0.7866863836017569,0.7738797077625255,683,0.6265109067529407
Jackets,Outerwear,0.7779918495297805,0.7125369421933352,319,0.5781230138697455
Tops,Blouses,0.7914826349312771,0.7077242329974934,2983,0.6649317631106231
Tops,Fine gauge,0.7691407932011332,0.7463990231365359,1059,0.4964414641330301
Tops,Knits,0.7778544963251188,0.7302571207397284,4626,0.5453444974120985
Tops,Sweaters,0.7566263768115942,0.7202870904847193,1380,0.5555025084408827
Trend,Trend,0.6631135593220339,0.609487938535891,118,0.6548259151164606
